date,open,high,low,close,volume,adj_close,adj_open,adj_high,adj_low,open_change,open_change_perc,close_change,close_change_perc,high_change,high_change_perc,low_change,low_change_perc,high_above_5_perc,high_above_10_perc,low_below_5_perc,low_below_10_perc,days_to_drop_to_prev_close,days_to_rise_to_prev_close
07/21/2014,28.15,29.12,28.05,28.51,35314600,28.51,28.15,29.12,28.05,0.26,0.01,0.62,0.02,1.23,0.04,0.16,0.01,,,,,1,0
07/18/2014,28.73,28.95,27.65,27.89,44347300,27.89,28.73,28.95,27.65,-1.20,-0.04,-2.04,-0.05,-0.98,-0.03,-2.28,-0.06,,,1,,0,9
07/17/2014,27.63,30.54,27.25,29.93,77986500,29.93,27.63,30.54,27.25,0.36,0.01,2.66,0.10,3.27,0.12,-0.02,0.00,1,1,,,0,0
07/16/2014,27.12,27.77,27.02,27.27,34509900,27.27,27.12,27.77,27.02,-0.83,-0.01,-0.68,-0.02,-0.18,0.01,-0.93,-0.03,,,,,0,1
07/15/2014,27.23,28.44,27.16,27.95,31615200,27.95,27.23,28.44,27.16,-0.25,0.01,0.47,0.02,0.96,0.03,-0.32,-0.01,,,,,0,0
07/14/2014,27.64,27.66,27.20,27.48,19191600,27.48,27.64,27.66,27.20,-0.66,-0.02,-0.82,-0.01,-0.64,-0.02,-1.10,-0.02,,,,,0,1
07/11/2014,28.55,28.78,28.19,28.30,21685700,28.30,28.55,28.78,28.19,-0.03,0.00,-0.28,0.01,0.20,0.01,-0.39,-0.01,,,,,0,0
07/10/2014,29.14,29.20,28.17,28.58,34857200,28.58,29.14,29.20,28.17,1.49,0.05,0.93,0.03,1.55,0.06,0.52,0.02,1,,,,2,0
07/09/2014,27.80,28.00,27.45,27.65,32507200,27.65,27.80,28.00,27.45,-0.39,-0.01,-0.54,0.00,-0.19,0.01,-0.74,-0.01,,,,,0,1
07/08/2014,27.91,28.79,27.91,28.19,33602400,28.19,27.91,28.79,27.91,0.14,0.00,0.42,0.02,1.02,0.04,0.14,0.00,,,,,1,0
07/07/2014,27.37,27.82,27.31,27.77,21794800,27.77,27.37,27.82,27.31,0.20,0.01,0.60,0.02,0.65,0.02,0.14,0.01,,,,,6,0
07/03/2014,27.06,27.27,26.95,27.17,18163800,27.17,27.06,27.27,26.95,-0.49,0.00,-0.38,-0.01,-0.28,-0.01,-0.60,-0.02,,,,,0,1
07/02/2014,27.76,27.79,27.27,27.55,21335500,27.55,27.76,27.79,27.27,-0.08,0.00,-0.29,-0.01,-0.05,0.00,-0.57,-0.02,,,,,0,3
07/01/2014,28.29,28.44,27.54,27.84,30497900,27.84,28.29,28.44,27.54,-0.31,-0.01,-0.76,-0.01,-0.16,0.01,-1.06,-0.02,,,,,0,4
06/30/2014,28.80,28.93,28.25,28.60,21201000,28.60,28.80,28.93,28.25,-0.06,0.00,-0.26,0.01,0.07,0.00,-0.61,-0.02,,,,,0,0
06/27/2014,29.41,29.49,28.80,28.86,25738200,28.86,29.41,29.49,28.80,0.30,0.01,-0.25,0.01,0.38,0.01,-0.31,-0.01,,,,,0,0
06/26/2014,28.70,29.86,28.70,29.11,32322200,29.11,28.70,29.86,28.70,-0.05,0.00,0.36,0.01,1.11,0.04,-0.05,0.00,,,,,0,0
06/25/2014,30.40,30.41,28.73,28.75,32769400,28.75,30.40,30.41,28.73,0.54,0.02,-1.11,-0.02,0.55,0.02,-1.13,-0.02,,,,,0,0
06/24/2014,29.10,30.13,28.67,29.86,34955700,29.86,29.10,30.13,28.67,0.27,0.01,1.03,0.04,1.30,0.04,-0.16,0.01,,,,,0,0
06/23/2014,29.40,29.72,28.74,28.83,22965100,28.83,29.40,29.72,28.74,-0.16,0.01,-0.73,-0.02,0.16,0.01,-0.82,-0.01,,,,,0,0
06/20/2014,29.06,29.58,28.83,29.56,23360800,29.56,29.06,29.58,28.83,-0.11,0.00,0.39,0.01,0.41,0.01,-0.34,-0.01,,,,,0,0
06/19/2014,28.82,29.40,28.59,29.17,29023500,29.17,28.82,29.40,28.59,-0.20,0.01,0.15,0.01,0.38,0.01,-0.43,-0.01,,,,,0,0
06/18/2014,30.56,30.61,28.97,29.02,36326000,29.02,30.56,30.61,28.97,-0.11,0.00,-1.65,-0.05,-0.06,0.00,-1.70,-0.04,,,,,0,30
06/17/2014,31.65,31.83,30.59,30.67,26772200,30.67,31.65,31.83,30.59,-0.12,0.00,-1.10,-0.03,0.06,0.00,-1.18,-0.02,,,,,0,0
06/16/2014,31.96,32.33,31.41,31.77,20888100,31.77,31.96,32.33,31.41,0.14,0.00,-0.05,0.00,0.51,0.02,-0.41,-0.01,,,,,0,0
06/13/2014,32.11,32.67,31.48,31.82,31265400,31.82,32.11,32.67,31.48,-0.26,0.01,-0.55,0.00,0.30,0.01,-0.89,-0.01,,,,,0,0
06/12/2014,31.08,32.92,30.95,32.37,34670300,32.37,31.08,32.92,30.95,0.19,0.01,1.48,0.05,2.03,0.07,0.06,0.00,1,,,,3,0
06/11/2014,30.75,31.31,30.51,30.89,22259800,30.89,30.75,31.31,30.51,0.54,0.02,0.68,0.02,1.10,0.04,0.30,0.01,,,,,5,0
06/10/2014,30.89,31.07,30.17,30.21,16574400,30.21,30.89,31.07,30.17,0.15,0.00,-0.53,0.00,0.33,0.01,-0.57,0.00,,,,,0,0
06/09/2014,30.18,30.83,29.90,30.74,26160700,30.74,30.18,30.83,29.90,-0.17,0.01,0.39,0.01,0.48,0.02,-0.45,-0.01,,,,,0,0
06/06/2014,31.16,31.21,30.31,30.35,36226700,30.35,31.16,31.21,30.31,-0.79,-0.02,-1.60,-0.05,-0.74,-0.02,-1.64,-0.05,,,1,,0,4
06/05/2014,32.75,33.02,31.82,31.95,35279300,31.95,32.75,33.02,31.82,-0.40,-0.01,-1.20,-0.02,-0.13,0.00,-1.33,-0.04,,,,,0,40
06/04/2014,33.65,33.74,32.93,33.15,20079600,33.15,33.65,33.74,32.93,0.15,0.00,-0.35,-0.01,0.24,0.01,-0.57,0.00,,,,,0,0
06/03/2014,33.58,33.75,33.35,33.50,13326500,33.50,33.58,33.75,33.35,0.20,0.01,0.12,0.00,0.37,0.01,-0.03,0.00,,,,,0,0
06/02/2014,33.56,33.90,33.32,33.38,12846200,33.38,33.56,33.90,33.32,0.04,0.00,-0.14,0.00,0.38,0.01,-0.20,0.01,,,,,0,0
05/30/2014,33.64,33.79,33.52,33.52,16727000,33.52,33.64,33.79,33.52,0.00,0.00,-0.12,0.00,0.15,0.00,-0.12,0.00,,,,,0,0
05/29/2014,33.58,33.87,33.41,33.64,19102300,33.64,33.58,33.87,33.41,-0.20,0.01,-0.14,0.00,0.09,0.00,-0.37,-0.01,,,,,0,0
05/28/2014,33.85,34.29,33.65,33.78,20281300,33.78,33.85,34.29,33.65,-0.02,0.00,-0.09,0.00,0.42,0.01,-0.22,0.01,,,,,0,0
05/27/2014,34.30,34.45,33.82,33.87,19471300,33.87,34.30,34.45,33.82,-0.65,0.00,-1.08,-0.03,-0.50,-0.01,-1.13,-0.03,,,,,0,51
05/23/2014,35.22,35.23,34.82,34.95,15106000,34.95,35.22,35.23,34.82,-0.02,0.00,-0.29,0.01,-0.01,0.00,-0.42,-0.01,,,,,0,52
05/22/2014,35.26,35.44,34.91,35.24,15781800,35.24,35.26,35.44,34.91,0.04,0.00,0.02,0.00,0.22,0.01,-0.31,0.01,,,,,0,0
05/21/2014,35.47,35.58,35.08,35.22,28449600,35.22,35.47,35.58,35.08,-0.32,0.01,-0.57,0.00,-0.21,0.01,-0.71,0.00,,,,,0,99
05/20/2014,36.00,36.52,35.57,35.79,33585500,35.79,36.00,36.52,35.57,-0.11,0.00,-0.32,0.01,0.41,0.01,-0.54,-0.01,,,,,0,0
05/19/2014,36.71,36.78,36.06,36.11,17113300,36.11,36.71,36.78,36.06,0.16,0.00,-0.44,-0.01,0.23,0.01,-0.49,-0.01,,,,,0,0
05/16/2014,37.12,37.56,36.54,36.55,27250000,36.55,37.12,37.56,36.54,-0.30,0.01,-0.87,-0.02,0.14,0.00,-0.88,-0.02,,,,,0,0
05/15/2014,37.25,38.27,37.10,37.42,43368500,37.42,37.25,38.27,37.10,0.22,0.01,0.39,0.01,1.24,0.03,0.07,0.00,,,,,1,0
05/14/2014,37.31,37.52,36.67,37.03,23706100,37.03,37.31,37.52,36.67,0.07,0.00,-0.21,0.01,0.28,0.01,-0.57,0.00,,,,,0,0
05/13/2014,37.04,37.28,36.82,37.24,20685400,37.24,37.04,37.28,36.82,-0.09,0.00,0.11,0.00,0.15,0.00,-0.31,0.01,,,,,0,0
05/12/2014,37.81,37.94,37.02,37.13,23216300,37.13,37.81,37.94,37.02,-0.46,-0.01,-1.14,-0.01,-0.33,0.01,-1.25,-0.03,,,,,0,3
05/09/2014,38.97,39.50,38.24,38.27,22686400,38.27,38.97,39.50,38.24,-0.15,0.00,-0.85,-0.02,0.38,0.01,-0.88,-0.02,,,,,0,0
05/08/2014,38.99,39.37,38.23,39.12,30755200,39.12,38.99,39.37,38.23,-0.06,0.00,0.07,0.00,0.32,0.01,-0.82,-0.02,,,,,0,0
05/07/2014,39.68,40.35,39.01,39.05,27991300,39.05,39.68,40.35,39.01,-0.15,0.00,-0.78,0.00,0.52,0.01,-0.82,-0.02,,,,,0,0
05/06/2014,39.75,40.00,39.31,39.83,26124300,39.83,39.75,40.00,39.31,0.19,0.00,0.27,0.01,0.44,0.01,-0.25,0.01,,,,,0,0
05/05/2014,40.61,40.85,39.55,39.56,22192000,39.56,40.61,40.85,39.55,0.61,0.02,-0.44,-0.01,0.85,0.02,-0.45,-0.01,,,,,0,0
05/02/2014,39.93,40.46,39.73,40.00,25606000,40.00,39.93,40.46,39.73,-0.28,0.01,-0.21,0.01,0.25,0.01,-0.48,-0.01,,,,,0,0
05/01/2014,40.35,40.49,39.86,40.21,21284500,40.21,40.35,40.49,39.86,0.10,0.00,-0.04,0.00,0.24,0.01,-0.39,0.01,,,,,0,0
04/30/2014,40.39,40.60,39.96,40.25,28752200,40.25,40.39,40.60,39.96,0.19,0.00,0.05,0.00,0.40,0.01,-0.24,0.01,,,,,0,0
04/29/2014,40.72,40.91,40.15,40.20,25873400,40.20,40.72,40.91,40.15,-0.23,0.01,-0.75,0.00,-0.04,0.00,-0.80,0.00,,,,,0,118
